repo,dependencyFile,url,http://org.softlang.com/Folder,http://org.softlang.com/File,http://org.softlang.com/groupId,http://org.softlang.com/artifactId,http://org.softlang.com/relativePath,http://org.softlang.com/Pom,http://org.softlang.com/MavenDependency,http://org.softlang.com/Property,http://org.softlang.com/ParentBlock,http://org.softlang.com/ParentPom,http://org.softlang.com/resolvable
JakeWharton/NineOldAndroids,https://github.com/JakeWharton/NineOldAndroids,https://github.com/JakeWharton/NineOldAndroids/blob/d582f0ec8e79013e9fa96c07986160b52e662e63/library/pom.xml,25,78,9,9,2,3,7,2,2,1,27
square/moshi,https://github.com/square/moshi,https://github.com/square/moshi/blob/11cbd5eae26e6df6ad4f868427d93ed0136d0623/kotlin/codegen/pom.xml,84,126,54,54,3,7,47,13,7,1,148
java-native-access/jna,https://github.com/java-native-access/jna,https://github.com/java-native-access/jna/blob/7ac44fee3d6b0e47de6d5d10c32be258b9ed1bef/native/pom.xml,187,1123,4,4,1,2,3,19,1,1,31
sqshq/PiggyMetrics,https://github.com/sqshq/PiggyMetrics,https://github.com/sqshq/PiggyMetrics/blob/72a2541b59cb3287194198e6074c00a281f2d01d/config/pom.xml,172,203,85,85,1,10,75,3,10,1,184
knightliao/disconf,https://github.com/knightliao/disconf,https://github.com/knightliao/disconf/blob/2ac5c8275ad8cdc101522ad01a8ba87e53b73b68/disconf-client/pom.xml,358,731,157,157,NaN,4,154,17,3,1,417
robolectric/robolectric,https://github.com/robolectric/robolectric,https://github.com/robolectric/robolectric/blob/2fbd20743bf82055c14abdd1ebeb5caad5cb9d31/scripts/pom_template.xml,435,1597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
lets-blade/blade,https://github.com/lets-blade/blade,https://github.com/lets-blade/blade/blob/e6096d52b657e9e06e01bee24b17bc09484fd591/pom.xml,73,282,13,13,NaN,1,13,13,NaN,NaN,52
elasticjob/elastic-job-lite,https://github.com/elasticjob/elastic-job-lite,https://github.com/elasticjob/elastic-job-lite/blob/b022898ef1b8c984e17efb2a422ee45f6b13e46e/elastic-job-lite-lifecycle/pom.xml,269,502,93,93,NaN,5,89,46,4,1,269
spring-projects/spring-mvc-showcase,https://github.com/spring-projects/spring-mvc-showcase,https://github.com/spring-projects/spring-mvc-showcase/blob/b9e18ad9e508409324b8afa9d359cfe05cd8442e/pom.xml,64,99,26,26,NaN,1,26,3,NaN,NaN,81
NanoHttpd/nanohttpd,https://github.com/NanoHttpd/nanohttpd,https://github.com/NanoHttpd/nanohttpd/blob/fd80618e93d17f8f05e11006eaa048a22213714d/core/pom.xml,147,158,58,58,NaN,14,45,10,13,1,171
