http://org.softlang.com/EcorePackageGenmodel,stargazers_count,pushed_at,http://org.softlang.com/EcorePackageXMI,http://org.softlang.com/Folder,language,repository,http://org.softlang.com/Ant,genmodel,http://org.softlang.com/qegal/EJ3,http://org.softlang.com/Pom,http://org.softlang.com/Gradle,http://org.softlang.com/EcorePackageJava,state,http://org.softlang.com/File,http://org.softlang.com/EcoreClassifierJava,http://org.softlang.com/EcoreClassifierXMI,duplicates,http://org.softlang.com/qegal/E,http://org.softlang.com/qegal/G,http://org.softlang.com/Ecore,sha,http://org.softlang.com/correspondsTo,eobject,http://org.softlang.com/qegal/J,size,http://org.softlang.com/partOf,ecore,default_branch,components,sha_data,http://org.softlang.com/manifestsAs,created_at,http://org.softlang.com/Genmodel,http://org.softlang.com/uri,updated_at,http://org.softlang.com/EcoreFactoryJava,http://org.softlang.com/name,http://org.softlang.com/OSGiProject,uniform_build,http://org.softlang.com/XML,http://org.softlang.com/nsUri,http://org.softlang.com/Manifest,http://org.softlang.com/refOccurs,http://org.softlang.com/Java,http://org.softlang.com/elementOf,time,watchers_count,http://org.softlang.com/nsPrefix,forks_count,http://org.softlang.com/refersTo,exception_in_process,http://org.softlang.com/qegal/EJc2,http://org.softlang.com/qegal/EJ1,http://org.softlang.com/qegal/EE
5,0.0,2017-02-17T16:15:11Z,5,271.0,Java,manuelleduc/ecore-oa-fsm,0.0,5.0,5,0.0,0.0,5,done,1002.0,65,65,0.0,5,5,5,b47a7d6f0b7a80cf101ef98330c1c9e8aeeb561e,70,18.0,5,1396.0,1388,5.0,master,1.0,2017-02-17T16:15:07Z,1314,2017-02-17T10:13:12Z,5,130,2017-02-17T10:41:30Z,5,65,27,True,92,80,1.0,133,364,670,984,0.0,5,0.0,5,,,,
1,0.0,2017-06-08T19:41:08Z,1,37.0,Java,abelgomez/cpntools.toolkit,0.0,1.0,1,0.0,0.0,1,done,145.0,45,45,0.0,1,1,1,c88e3594f56785d6c31bb401887e899e1d636e5c,46,8.0,1,7735.0,270,1.0,master,1.0,2017-06-08T19:38:58Z,224,2016-10-05T17:13:58Z,1,90,2016-10-24T10:53:10Z,1,45,3,True,15,48,1.0,5,97,214,766,0.0,1,0.0,1,,,,
1,0.0,2014-11-16T20:32:44Z,1,37.0,Java,vladimirkozhaev/entities,0.0,1.0,1,0.0,0.0,1,done,67.0,7,7,0.0,1,1,1,245914c8f78b3194f8dd71c51c458875077fc962,8,5.0,1,160.0,153,1.0,master,1.0,2014-11-16T20:28:13Z,145,2014-11-16T20:31:45Z,1,14,2014-11-16T20:32:44Z,1,7,1,True,7,10,1.0,13,33,62,640,0.0,1,0.0,,,,,
"",0.0,2017-05-18T10:20:22Z,1,27.0,C#,bjorsig/Kennitala,0.0,0.0,,0.0,0.0,,done,38.0,,1,0.0,1,,1,a244a3ec88d74ea1c7e71dc6566f4f85b3ea359d,,0.0,,41.0,107,1.0,master,1.0,2017-05-18T10:20:21Z,106,2015-04-29T22:31:44Z,,1,2017-05-18T10:19:13Z,,1,1,True,10,2,1.0,2,,15,640,0.0,1,6.0,,,,1,
1,0.0,2012-09-11T09:58:32Z,1,72.0,Java,matiuz/menumaker,0.0,0.0,1,0.0,0.0,1,done,732.0,4,4,0.0,1,1,1,fe4bde2cef42f075f2b594e96aae395529fdc62f,5,8.0,1,2268.0,850,1.0,master,1.0,2012-09-11T09:58:30Z,845,2012-09-05T15:01:05Z,1,8,2014-01-10T09:42:03Z,1,4,4,True,13,7,1.0,9,54,89,833,0.0,1,0.0,1,,,,
1,0.0,2015-03-03T09:59:22Z,1,111.0,Java,blastgwen/dsl-browser-automatisation,0.0,1.0,1,0.0,0.0,1,done,263.0,29,37,0.0,1,1,1,2e467a672b16a746551dd153f0e37338aa67cc69,30,19.0,1,54816.0,453,1.0,master,1.0,2015-03-03T09:59:22Z,415,2015-02-03T12:52:31Z,1,66,2015-03-23T09:55:34Z,1,37,5,True,23,40,1.0,41,108,213,1297,0.0,1,1.0,,,1,,
1,0.0,2016-05-20T14:52:54Z,1,166.0,Java,RenatoEly/Compiladores,0.0,1.0,1,0.0,0.0,1,done,814.0,104,104,0.0,1,1,1,ea4d01019cafad0c17286a6d0e9ffe709a068fdb,105,75.0,1,6107.0,1126,1.0,master,1.0,2016-05-20T14:52:26Z,1021,2016-05-17T20:10:45Z,1,208,2016-05-18T15:39:00Z,1,104,5,True,16,107,1.0,35,254,494,1082,0.0,1,0.0,,,,,
1,0.0,2018-02-06T11:11:29Z,1,5.0,HTML,EkynoxSV/PDC_OC,0.0,1.0,,0.0,0.0,,done,8.0,,,0.0,1,1,1,a04a7ec8181bcb483c0a9d21762bab14385e190f,,0.0,,4.0,55,0.0,master,1.0,2018-02-06T11:10:48Z,54,2018-02-06T09:50:41Z,1,,2018-02-06T10:47:00Z,,,1,True,5,1,1.0,2,,11,641,0.0,1,1.0,1,,,1,
1,0.0,2017-06-10T19:01:46Z,1,68.0,Java,KAMP-Research/KAMP4REQ,0.0,1.0,1,0.0,0.0,1,done,117.0,8,8,0.0,1,1,1,c31aecd09100b3dfb93d2c7b8aa9f5ca20a11f70,9,1.0,1,2663.0,235,1.0,master,1.0,2017-06-10T19:01:45Z,226,2017-06-01T14:52:01Z,1,16,2017-06-02T13:44:12Z,1,8,5,True,17,11,1.0,141,62,111,791,0.0,1,2.0,1,,,,
1,0.0,2014-11-30T22:16:20Z,1,92.0,Java,sfinnie/xtext.scoping.adventures,0.0,1.0,1,0.0,0.0,1,done,118.0,4,4,0.0,1,1,1,63b152ccd64bb0678cd8bf5d982944edda7602b9,5,2.0,1,1804.0,256,1.0,master,1.0,2014-11-30T21:59:29Z,251,2014-11-30T21:54:06Z,1,8,2014-11-30T22:16:20Z,1,4,3,True,17,7,1.0,32,47,84,828,0.0,1,0.0,,,,,
