repo,dependencyFile,url,http://org.softlang.com/Folder,http://org.softlang.com/File,http://org.softlang.com/groupId,http://org.softlang.com/artifactId,http://org.softlang.com/relativePath,http://org.softlang.com/Pom,http://org.softlang.com/MavenDependency,http://org.softlang.com/Property,http://org.softlang.com/ParentBlock,http://org.softlang.com/ParentPom,http://org.softlang.com/resolvable,http://org.softlang.com/Module
h2oai/h2o-2,https://github.com/h2oai/h2o-2,https://github.com/h2oai/h2o-2/blob/be350f3f2c2fb6f135cc07c41f83fd0e4f521ac1/h2o-parent/pom.xml,518,3689,24,24,1,3,21,5,3,1,72,NaN
Twitter4J/Twitter4J,https://github.com/Twitter4J/Twitter4J,https://github.com/Twitter4J/Twitter4J/blob/33ecf0569df9f9c01e28115114ea66660cd75fb4/pom.xml,143,651,32,32,NaN,7,32,12,NaN,NaN,114,6
apache/beam,https://github.com/apache/beam,https://github.com/apache/beam/blob/a2b0ad14f1525d1a645cb26f5b8ec45692d9d54e/sdks/java/maven-archetypes/examples/src/main/resources/archetype-resources/pom.xml,1803,5137,39,39,NaN,5,39,26,NaN,NaN,143,NaN
ronmamo/reflections,https://github.com/ronmamo/reflections,https://github.com/ronmamo/reflections/blob/94f9d5a3de9b1e268280fe974a60147f575929d7/pom.xml,20,56,9,9,NaN,1,9,4,NaN,NaN,31,NaN
Prototik/HoloEverywhere,https://github.com/Prototik/HoloEverywhere,https://github.com/Prototik/HoloEverywhere/blob/b870abb5ab009a5a6dbab3fb855ec2854e35e125/addons/pom.xml,320,1932,25,25,5,6,20,4,5,2,75,2
twitter/distributedlog,https://github.com/twitter/distributedlog,https://github.com/twitter/distributedlog/blob/8e619cd735093e45eef741e5be3c36dbc0598eba/distributedlog-protocol/pom.xml,269,943,56,56,4,9,47,19,9,1,192,10
brianfrankcooper/YCSB,https://github.com/brianfrankcooper/YCSB,https://github.com/brianfrankcooper/YCSB/blob/c506ef90b7f374451849f8597291fdd604404a08/accumulo1.6/pom.xml,615,415,297,297,47,51,246,74,51,1,967,7
Screetsec/TheFatRat,https://github.com/Screetsec/TheFatRat,https://github.com/Screetsec/TheFatRat/blob/cab9b9b7ce2ddcefaa77aa7ebf41fe65cdd8ee22/tools/proguard5.3.2/buildscripts/maven/ant/pom.xml,1672,9895,19,19,6,7,13,1,6,1,64,6
oracle/opengrok,https://github.com/oracle/opengrok,https://github.com/oracle/opengrok/blob/71e6069421e4b020a8485ed713dc95ed8948ff28/distribution/pom.xml,429,1489,82,82,NaN,7,76,10,6,1,236,6
eclipse/jetty.project,https://github.com/eclipse/jetty.project,https://github.com/eclipse/jetty.project/blob/6b335877d9cc8a6be0c61c5d6d2a559ab9035323/aggregates/jetty-websocket-all/pom.xml,2424,4810,1162,1162,16,161,1015,240,156,26,3461,147
