address,current,old,sample,id,repository_type
Caltoopia/caltoopia,True,False,False,Caltoopia/caltoopia,git
CamilleLL/laughing-computing-machine,True,False,False,CamilleLL/laughing-computing-machine,git
CanalTP/VersionViewerBundle,True,False,False,CanalTP/VersionViewerBundle,git
CapsHil/aic_dsl,True,False,False,CapsHil/aic_dsl,git
CarlAtComputer/tracker,True,False,False,CarlAtComputer/tracker,git
CarolWanderley/compiladores,True,False,False,CarolWanderley/compiladores,git
CaveJ/buildExamples,True,False,False,CaveJ/buildExamples,git
Centril/TDA593-MDSD-Group5,True,False,False,Centril/TDA593-MDSD-Group5,git
Chajunghun/aurora-project,True,True,False,Chajunghun/aurora-project,git
CharlesHenry/ServerGeneratorLanguage,True,False,False,CharlesHenry/ServerGeneratorLanguage,git
ChilobeMwanza/CBPEMF,True,False,False,ChilobeMwanza/CBPEMF,git
ChrisOnJava/org.eclipse.graphiti,True,False,False,ChrisOnJava/org.eclipse.graphiti,git
ChristianWulf/CSharpKDMDiscoverer,True,False,False,ChristianWulf/CSharpKDMDiscoverer,git
ChristianWulf/DyVis,True,False,False,ChristianWulf/DyVis,git
ChristophMoserUNIVIE/ASE,True,False,False,ChristophMoserUNIVIE/ASE,git
ChristophWurst/mdd_nextcloud_dsl,True,False,False,ChristophWurst/mdd_nextcloud_dsl,git
ChunghwaTelecom/oomph,True,False,False,ChunghwaTelecom/oomph,git
Cloud4SOA/Cloud4SOA,True,False,False,Cloud4SOA/Cloud4SOA,git
CloudScale-Project/ArchitecturalTemplates,True,True,False,CloudScale-Project/ArchitecturalTemplates,git
CloudScale-Project/Environment,True,True,False,CloudScale-Project/Environment,git
CloudScale-Project/Examples,True,True,False,CloudScale-Project/Examples,git
CloudScale-Project/Extractor,True,True,False,CloudScale-Project/Extractor,git
CloudScale-Project/StaticSpotter,True,False,False,CloudScale-Project/StaticSpotter,git
CloudScale-Project/UsageEvolution,True,False,False,CloudScale-Project/UsageEvolution,git
CoCoResearch/CoCoMetamodel,True,False,False,CoCoResearch/CoCoMetamodel,git
CoCoResearch/FSGCLoud,True,False,False,CoCoResearch/FSGCLoud,git
CoWolf/CoWolf,True,True,False,CoWolf/CoWolf,git
CoastalHacking/semiotics-main,True,False,False,CoastalHacking/semiotics-main,git
CoastalHacking/semiotics-model,True,False,False,CoastalHacking/semiotics-model,git
CodePhill/DEECo-Timing-Analysis,True,False,False,CodePhill/DEECo-Timing-Analysis,git
CodeTrek/sky-dis,True,True,False,CodeTrek/sky-dis,git
CodeWinger/ECSE539-project,True,False,False,CodeWinger/ECSE539-project,git
CohesionForce/dis-toolkit,True,False,False,CohesionForce/dis-toolkit,git
CohesionForce/ecfrance-gmf,True,False,False,CohesionForce/ecfrance-gmf,git
CohesionForce/ecfrance-sirius,True,False,False,CohesionForce/ecfrance-sirius,git
CohesionForce/eclipsecon2014,True,False,False,CohesionForce/eclipsecon2014,git
CohesionForce/reveal,True,False,False,CohesionForce/reveal,git
Comp-UFSCar/simple-sonora,True,False,False,Comp-UFSCar/simple-sonora,git
ComplexAvionicsSystems/OAAM,True,False,False,ComplexAvionicsSystems/OAAM,git
Concordia-SSS/SSS,True,False,False,Concordia-SSS/SSS,git
Cooperate-Project/CooperateModelingEnvironment,True,False,False,Cooperate-Project/CooperateModelingEnvironment,git
Cooperate-Project/EnterpriseArchitectBridge,True,False,False,Cooperate-Project/EnterpriseArchitectBridge,git
Cooperate-Project/PapyrusCollaborativeModeling,True,False,False,Cooperate-Project/PapyrusCollaborativeModeling,git
Cooperate-Project/PapyrusMetaModels,True,False,False,Cooperate-Project/PapyrusMetaModels,git
Cooperate-Project/QVTOUtils,True,False,False,Cooperate-Project/QVTOUtils,git
Cooperate-Project/RCPTTUtilities,True,False,False,Cooperate-Project/RCPTTUtilities,git
Cooperate-Project/UMLNotationBenchmark,True,False,False,Cooperate-Project/UMLNotationBenchmark,git
CoreflightModeler/MetaModel,True,False,False,CoreflightModeler/MetaModel,git
CremboC/mode-open-assessment,True,False,False,CremboC/mode-open-assessment,git
CsabaSzabo/iOS-Test-Generator,True,False,False,CsabaSzabo/iOS-Test-Generator,git
D-Dawg/SWE_ASSIGN3.parent,True,False,False,D-Dawg/SWE_ASSIGN3.parent,git
DECENTSoftwareAssessment/DECENT.Meta,True,False,False,DECENTSoftwareAssessment/DECENT.Meta,git
DFKI-CPS/chimpanc,True,False,False,DFKI-CPS/chimpanc,git
DFKI-CPS/scemf,True,False,False,DFKI-CPS/scemf,git
DSIHarman/DSI,True,False,False,DSIHarman/DSI,git
DUNPAPS/PapsLab,True,False,False,DUNPAPS/PapsLab,git
DUNPAPS/Sunday,True,False,False,DUNPAPS/Sunday,git
DaemonSu/fuse-master,True,False,False,DaemonSu/fuse-master,git
Dagefoerde/bugfree-octo-tyrion,True,True,False,Dagefoerde/bugfree-octo-tyrion,git
Damapproject/damapp,True,False,False,Damapproject/damapp,git
Dan88/MEL_Assignment_1,True,False,False,Dan88/MEL_Assignment_1,git
DanielWeber/emfmodelvisualizer,True,True,False,DanielWeber/emfmodelvisualizer,git
DanielWeber/org.eclipse.etrice,True,True,False,DanielWeber/org.eclipse.etrice,git
Danipiario/com.icteam.loyalty,True,False,False,Danipiario/com.icteam.loyalty,git
Danita25/Tesina,True,False,False,Danita25/Tesina,git
DarwinSPL/DarwinSPL,True,False,False,DarwinSPL/DarwinSPL,git
DarwinSPL/EvoRepair,True,False,False,DarwinSPL/EvoRepair,git
Dav1dS1mon/de.htwg.mgse,True,False,False,Dav1dS1mon/de.htwg.mgse,git
DaveDenmark/MBSEv5,True,False,False,DaveDenmark/MBSEv5,git
DavidBlancoSD/dmn,True,False,False,DavidBlancoSD/dmn,git
DavidGillsjo/turtleDSL,True,False,False,DavidGillsjo/turtleDSL,git
DavidZaf/Lab3,True,False,False,DavidZaf/Lab3,git
Dawei-ie/MDDSV,True,False,False,Dawei-ie/MDDSV,git
DawidLoubser/reference,True,False,False,DawidLoubser/reference,git
De-Lac/Dynamic-Verification-of-Service-Based-Systems,True,False,False,De-Lac/Dynamic-Verification-of-Service-Based-Systems,git
Delors/Vespucci2,True,False,False,Delors/Vespucci2,git
DemidovAlexander/Xtext_MiniJava_IDE,True,False,False,DemidovAlexander/Xtext_MiniJava_IDE,git
Deothan/dk.sdu.mdsd.ann,True,False,False,Deothan/dk.sdu.mdsd.ann,git
Deothan/math-dsl-mdsd,True,False,False,Deothan/math-dsl-mdsd,git
DesignAndDeploy/dnd,True,False,False,DesignAndDeploy/dnd,git
DevBoost/EMFText,True,True,False,DevBoost/EMFText,git
DevBoost/EMFText-Zoo,True,True,True,DevBoost/EMFText-Zoo,git
DevBoost/EMFTools,True,True,True,DevBoost/EMFTools,git
DevBoost/JaMoPP,True,False,False,DevBoost/JaMoPP,git
DevBoost/NatSpec-ATDD-Tutorial,True,False,False,DevBoost/NatSpec-ATDD-Tutorial,git
DevBoost/NatSpec_Requirements_Library,True,False,False,DevBoost/NatSpec_Requirements_Library,git
DevBoost/OntoMoPP,True,True,False,DevBoost/OntoMoPP,git
DevBoost/Reuseware,True,True,False,DevBoost/Reuseware,git
