repository,maven,stargazers_count,forks_count,watchers_count,size,default_branch,language,created_at,updated_at,pushed_at,sha,sha_data,components,duplicates,time,state,Folder,File,Manifest,Pom,Gradle,Ant,uniform_build
apache/kafka,3,9048,5198,9048,71180,trunk,Java,2011-08-15T18:06:16Z,2018-07-26T18:41:02Z,2018-07-26T20:16:47Z,a932520135d42c7d9731064d96c21ab2fc5de696,2018-07-26T17:29:09Z,0,0,2223,done,619,2686,0.0,1.0,1.0,0.0,False
apache/rocketmq,16,4867,2231,4867,3792,master,Java,2016-11-30T08:00:08Z,2018-07-26T15:50:39Z,2018-07-26T04:04:17Z,0f76489882d3954fd640e28c7b8704b6d9f3096f,2018-07-14T03:01:42Z,0,0,1427,done,390,906,0.0,1.0,0.0,0.0,True
apache/storm,30,5187,3661,5187,175731,master,Java,2013-11-05T08:00:14Z,2018-07-26T12:44:05Z,2018-07-26T22:20:41Z,7a0fa47f76e5cdfc6a5a0b89352e191b17e74b13,2018-07-24T19:51:39Z,0,0,3256,done,1305,2988,0.0,1.0,0.0,0.0,True
apache/zeppelin,30,3682,1867,3682,67539,master,Java,2015-03-25T07:00:06Z,2018-07-26T09:51:11Z,2018-07-26T21:57:58Z,76e0027c2d43ac693c86a2123c2b589b9faaaeb3,2018-07-26T07:05:01Z,0,0,2163,done,1062,1696,0.0,1.0,0.0,0.0,True
apereo/cas,1,4481,2228,4481,1373674,master,Java,2011-09-09T01:36:42Z,2018-07-26T21:47:15Z,2018-07-26T22:39:36Z,64b38c3e701f86e71b4663f19eaa02b03ca84b4a,2018-07-26T17:23:02Z,0,0,14830,done,5406,4446,0.0,1.0,1.0,0.0,False
b3log/solo,1,4810,1909,4810,48656,master,Java,2012-04-10T02:08:05Z,2018-07-26T17:17:13Z,2018-07-26T02:21:10Z,6ebabe3c968b5140b7fed65b7f341711ce27ad03,2018-07-26T00:38:50Z,0,0,2656,done,204,2013,0.0,1.0,0.0,0.0,True
bauerca/drag-sort-listview,3,3193,1579,3193,2461,master,Java,2012-06-01T06:32:13Z,2018-07-24T18:12:56Z,2016-01-12T13:26:25Z,c3cfccee21676149dfdf8e803c0ec2eaebc6b841,2013-04-23T23:26:53Z,0,0,651,done,27,88,0.0,1.0,0.0,1.0,False
bazelbuild/bazel,20,9554,1501,9554,477850,master,Java,2014-06-12T16:00:38Z,2018-07-26T23:04:11Z,2018-07-26T23:03:57Z,6964a0b68444333ed13a355a7f6799adb931b4aa,2018-07-26T23:03:27Z,0,0,12043,done,1427,9854,0.0,1.0,1.0,1.0,False
ben-manes/caffeine,1,4290,383,4290,96311,master,Java,2014-12-13T08:45:11Z,2018-07-26T17:20:58Z,2018-07-18T16:43:02Z,29389bef6351bad4b60e8d432a5d1cb208d2db52,2018-07-18T16:43:00Z,0,0,1031,done,229,466,0.0,1.0,1.0,0.0,False
brettwooldridge/HikariCP,1,7430,1143,7430,4937,dev,Java,2013-10-08T05:43:03Z,2018-07-26T22:55:15Z,2018-07-12T17:40:24Z,7209aabeccfe0e8e13e72b4e487f406f2e16c796,2018-07-12T17:40:22Z,0,0,756,done,32,104,0.0,1.0,0.0,0.0,True
checkstyle/checkstyle,1,3791,6513,3791,59153,master,Java,2013-08-31T02:05:05Z,2018-07-26T18:55:39Z,2018-07-23T19:10:56Z,6d6bcc02779c140cad181dd0c99ff5c7b645a54c,2018-07-23T19:10:55Z,0,0,2135,done,561,2503,0.0,1.0,0.0,0.0,True
chrisbanes/Android-PullToRefresh,6,8717,5109,8717,4286,master,Java,2011-11-29T09:59:56Z,2018-07-26T16:08:22Z,2017-10-13T08:40:58Z,3bd8ef6869c3297bfe874d2f15c2ee53c3456e99,2013-02-02T12:31:46Z,0,0,664,done,75,127,0.0,1.0,0.0,0.0,True
clojure/clojure,1,7253,1178,7253,13623,master,Java,2010-06-29T20:03:33Z,2018-07-26T22:36:50Z,2018-07-04T15:00:43Z,71511b7800e18c83377a322f43585a853b303698,2018-07-04T14:56:17Z,0,0,884,done,40,310,0.0,1.0,0.0,1.0,False
code4craft/webmagic,7,6815,3166,6815,17054,master,Java,2013-04-23T12:57:36Z,2018-07-26T14:45:08Z,2018-07-09T10:07:06Z,be892b80bf6682cd063d30ac25a79be0c079a901,2017-12-02T02:57:06Z,0,0,852,done,146,284,0.0,1.0,0.0,0.0,True
codecentric/spring-boot-admin,18,5055,1464,5055,14991,master,Java,2014-07-25T11:39:13Z,2018-07-26T21:54:09Z,2018-07-26T06:45:16Z,c43b2e92a8066f72add6a94569f1ab41e71c7233,2018-07-26T06:44:50Z,0,0,1199,done,282,438,0.0,1.0,0.0,0.0,True
commonsguy/cw-omnibus,3,4572,3622,4572,75053,master,Java,2012-03-12T14:12:06Z,2018-07-26T13:36:55Z,2018-06-27T00:50:25Z,489d24d6212fec11656ed918c88153099ae89204,2018-06-03T18:35:37Z,0,0,43911,done,10843,14073,0.0,1.0,1.0,1.0,False
ctripcorp/apollo,11,6714,2422,6714,41202,master,Java,2016-03-04T10:24:23Z,2018-07-26T14:48:39Z,2018-07-25T16:02:41Z,37cedbc0292a7a441c515ac68c8027cdac922515,2018-07-25T16:02:40Z,0,0,1360,done,380,1101,0.0,1.0,0.0,0.0,True
dbeaver/dbeaver,30,5695,485,5695,236160,devel,Java,2015-10-21T08:26:28Z,2018-07-26T22:20:28Z,2018-07-25T16:08:16Z,fb12261e2a56565676461b5681e8ba4a87036844,2018-07-25T07:14:12Z,35,0,5024,done,1191,4585,1.0,1.0,0.0,0.0,False
deeplearning4j/deeplearning4j,30,9394,4369,9394,572032,master,Java,2013-11-27T02:03:28Z,2018-07-26T21:45:00Z,2018-07-26T21:44:57Z,eebc625040101069a2aac48762bcc18adebd4e05,2018-07-26T21:44:52Z,0,0,9684,done,2969,7835,0.0,1.0,0.0,0.0,True
dropwizard/dropwizard,30,6731,2877,6731,72902,master,Java,2011-01-19T19:52:29Z,2018-07-26T21:19:19Z,2018-07-25T07:51:25Z,49e961cb41627909bfb8c479dfdd3465ae9193ca,2018-07-12T14:08:46Z,0,0,1421,done,646,1227,0.0,1.0,0.0,0.0,True
dropwizard/metrics,25,5886,1521,5886,8592,4.1-development,Java,2010-02-26T19:44:42Z,2018-07-26T16:49:37Z,2018-07-18T22:25:18Z,0d3cea2ca3daba905fa9650d9a79930f308a4b10,2018-07-17T20:38:34Z,0,0,926,done,308,369,0.0,1.0,0.0,0.0,True
druid-io/druid,30,6790,1671,6790,141002,master,Java,2012-10-23T19:08:07Z,2018-07-26T21:18:22Z,2018-07-26T21:17:58Z,7919e4d5df1452573ad85179239a0f43c35fd284,2018-07-26T21:17:57Z,0,0,3857,done,1456,4257,0.0,1.0,0.0,0.0,True
dyc87112/SpringBoot-Learning,30,3948,1744,3948,32693,master,Java,2016-08-21T03:39:06Z,2018-07-26T16:29:43Z,2018-05-14T01:58:21Z,88d49d7d668bb5510b77ebcf4990aa4a9937c163,2018-04-15T13:01:46Z,0,0,1043,done,661,353,0.0,1.0,0.0,0.0,True
eclipse/che,30,4932,887,4932,91462,master,Java,2015-03-26T15:31:01Z,2018-07-26T22:16:46Z,2018-07-26T23:03:19Z,598ecdd6cf44fda6a884aa52a007eefd7982e339,2018-07-26T22:16:36Z,0,0,29423,done,8933,12736,0.0,1.0,0.0,0.0,True
eclipse/vert.x,1,8160,1386,8160,101006,master,Java,2011-06-17T14:54:55Z,2018-07-26T15:19:52Z,2018-07-26T16:00:47Z,01bc1489fa56084d0aa658eaad9e61d40217a452,2018-07-26T13:58:39Z,0,0,1057,done,141,887,0.0,1.0,0.0,0.0,True
elasticjob/elastic-job-lite,12,3843,1865,3843,104627,dev,Java,2015-09-11T11:28:52Z,2018-07-26T12:29:26Z,2018-07-14T10:11:48Z,b022898ef1b8c984e17efb2a422ee45f6b13e46e,2018-03-28T15:42:04Z,0,0,906,done,269,502,0.0,1.0,0.0,0.0,True
emilsjolander/StickyListHeaders,1,5322,1557,5322,3866,master,Java,2012-03-11T18:29:18Z,2018-07-26T08:09:45Z,2018-05-03T21:01:06Z,cec8d6a6ddfc29c530df5864794a5a0a2d2f3675,2015-05-20T18:31:51Z,0,0,763,done,26,57,0.0,1.0,1.0,1.0,False
eugenp/tutorials,30,7096,11144,7096,107879,master,Java,2013-04-29T18:26:36Z,2018-07-26T21:32:41Z,2018-07-26T22:47:29Z,7070f25400c070ec499461a795b424b802665047,2018-07-26T20:57:19Z,0,0,40726,done,9490,14001,1.0,1.0,1.0,1.0,False
facebook/buck,1,5963,900,5963,862035,master,Java,2013-04-17T18:12:18Z,2018-07-26T23:04:49Z,2018-07-26T23:04:40Z,f7be437825b9e4350aee89896cf8cb88919d4cc1,2018-07-26T23:04:37Z,0,0,23223,done,3911,12821,0.0,0.0,1.0,1.0,False
facebook/fresco,1,14763,3581,14763,64091,master,Java,2015-03-02T09:58:04Z,2018-07-26T11:36:15Z,2018-07-26T09:00:34Z,ed5c07595678010570a03d0118ecd80850c68d61,2018-07-24T19:06:28Z,0,0,2296,done,779,2252,0.0,1.0,1.0,0.0,False
flyway/flyway,5,3218,799,3218,13435,master,Java,2012-12-14T18:43:22Z,2018-07-26T22:17:11Z,2018-07-09T16:00:00Z,f3e7f8f0c603495ae6aa48a1c3d08b84dc734aee,2018-07-09T15:59:51Z,0,0,1068,done,107,359,0.0,1.0,0.0,0.0,True
google/auto,11,6804,745,6804,2604,master,Java,2013-05-22T21:41:56Z,2018-07-26T13:51:34Z,2018-07-23T21:08:23Z,6f1397d4fe867d16fd72942eedc4208f15a5b900,2018-07-23T21:08:19Z,0,0,901,done,127,269,0.0,1.0,0.0,0.0,True
google/closure-compiler,7,4298,835,4298,143095,master,Java,2014-04-16T15:30:36Z,2018-07-26T16:04:19Z,2018-07-26T16:04:13Z,8cb0d7e9dde943cd2f46a9cb916c511fc9616901,2018-07-26T16:03:35Z,0,0,2073,done,134,1760,0.0,1.0,0.0,0.0,True
google/error-prone,18,3814,407,3814,57013,master,Java,2014-08-21T23:26:50Z,2018-07-26T13:55:20Z,2018-07-19T17:43:15Z,4d7b19f3cb7b46a931856b0c3ca8b1f37c57508f,2018-07-19T17:43:07Z,0,0,1982,done,266,1994,0.0,1.0,1.0,1.0,False
google/guava,9,25618,5834,25618,225429,master,Java,2014-05-29T16:23:17Z,2018-07-26T16:08:12Z,2018-07-20T22:38:22Z,34c1616279efe08089960aafd3df486cf8a04820,2018-07-16T20:43:01Z,0,0,2396,done,320,3237,0.0,1.0,0.0,0.0,True
google/guice,19,6944,1065,6944,68198,master,Java,2014-05-28T23:18:53Z,2018-07-26T13:26:06Z,2018-07-16T18:51:12Z,cab3f07f15bdf904561fc9d30dd4f9697719993b,2018-07-13T15:29:19Z,0,0,1297,done,212,703,0.0,1.0,0.0,1.0,False
google/iosched,2,15733,5338,15733,46858,master,Java,2014-04-01T22:40:40Z,2018-07-26T15:50:53Z,2018-07-23T02:56:40Z,6a33a887ab1de307922bc33b1ee49c14e6124d92,2017-08-18T16:00:26Z,0,0,1560,done,452,1293,0.0,1.0,1.0,1.0,False
google/j2objc,2,5191,723,5191,46156,master,Java,2014-01-30T20:19:56Z,2018-07-26T15:33:03Z,2018-06-15T18:21:03Z,b3ce6b70a1bce68b5cb574154b7144c3ef242e13,2018-06-15T18:15:22Z,0,0,3311,done,891,4018,0.0,1.0,0.0,0.0,True
grpc/grpc-java,1,4606,1488,4606,25673,master,Java,2014-12-08T19:00:00Z,2018-07-26T21:56:45Z,2018-07-26T21:56:36Z,75b48b4dfe82709a35bc2a0cf66a32f0b0eb6df0,2018-07-26T21:56:35Z,0,0,1485,done,632,1158,0.0,1.0,1.0,0.0,False
hankcs/HanLP,1,8085,2551,8085,51544,master,Java,2014-10-09T06:36:16Z,2018-07-26T21:57:52Z,2018-07-21T13:30:45Z,44c4b529b37ee0fef708cbee60246fa4d6b2e863,2018-07-21T13:30:25Z,0,0,1332,done,178,610,0.0,1.0,0.0,0.0,True
hibernate/hibernate-orm,9,3303,2263,3303,159643,master,Java,2010-10-04T16:15:52Z,2018-07-26T20:37:50Z,2018-07-26T12:41:54Z,ea77c1fb4b65905622e2ab74211c232e6dcac9b2,2018-07-23T19:37:49Z,0,0,13842,done,2371,10968,0.0,1.0,1.0,0.0,False
