components,sha_data,stargazers_count,pushed_at,Ant,http://org.softlang.com/Folder,http://org.softlang.com/manifestsAs,created_at,language,repository,Folder,http://org.softlang.com/xmlns,updated_at,http://org.softlang.com/OSGiProject,state,uniform_build,http://org.softlang.com/XML,http://org.softlang.com/File,duplicates,maven,http://org.softlang.com/Manifest,Manifest,sha,Pom,http://org.softlang.com/Java,size,http://org.softlang.com/partOf,http://org.softlang.com/elementOf,default_branch,time,Gradle,watchers_count,File,forks_count,http://org.softlang.com/refOccurs
0,2018-07-26T06:44:50Z,5055,2018-07-26T06:45:16Z,0.0,282,720,2014-07-25T11:39:13Z,Java,codecentric/spring-boot-admin,282,38,2018-07-26T21:54:09Z,,done,True,23,438,0,18,,0.0,c43b2e92a8066f72add6a94569f1ab41e71c7233,1.0,220,14991,719,243,master,1199,0.0,5055,438,1464,
0,2018-06-03T18:35:37Z,4572,2018-06-27T00:50:25Z,1.0,,,2012-03-12T14:12:06Z,Java,commonsguy/cw-omnibus,10843,,2018-07-26T13:36:55Z,,done,False,,,0,3,,0.0,489d24d6212fec11656ed918c88153099ae89204,1.0,,75053,,,master,43911,1.0,4572,14073,3622,
0,2018-07-25T16:02:40Z,6714,2018-07-25T16:02:41Z,0.0,380,1481,2016-03-04T10:24:23Z,Java,ctripcorp/apollo,380,80,2018-07-26T14:48:39Z,,done,True,47,1101,0,11,,0.0,37cedbc0292a7a441c515ac68c8027cdac922515,1.0,586,41202,1480,633,master,1360,0.0,6714,1101,2422,
35,2018-07-25T07:14:12Z,5695,2018-07-25T16:08:16Z,0.0,1191,5776,2015-10-21T08:26:28Z,Java,dbeaver/dbeaver,1191,284,2018-07-26T22:20:28Z,84,done,False,455,4585,0,30,84,1.0,fb12261e2a56565676461b5681e8ba4a87036844,1.0,2825,236160,5775,3448,devel,5024,0.0,5695,4585,485,387
0,2018-07-26T21:44:52Z,9394,2018-07-26T21:44:57Z,0.0,2969,10804,2013-11-27T02:03:28Z,Java,deeplearning4j/deeplearning4j,2969,282,2018-07-26T21:45:00Z,,done,True,201,7835,0,30,,0.0,eebc625040101069a2aac48762bcc18adebd4e05,1.0,4686,572032,10803,4887,master,9684,0.0,9394,7835,4369,
0,2018-07-12T14:08:46Z,6731,2018-07-25T07:51:25Z,0.0,646,1873,2011-01-19T19:52:29Z,Java,dropwizard/dropwizard,646,87,2018-07-26T21:19:19Z,,done,True,69,1227,0,30,,0.0,49e961cb41627909bfb8c479dfdd3465ae9193ca,1.0,889,72902,1872,958,master,1421,0.0,6731,1227,2877,
0,2018-07-17T20:38:34Z,5886,2018-07-18T22:25:18Z,0.0,308,677,2010-02-26T19:44:42Z,Java,dropwizard/metrics,308,53,2018-07-26T16:49:37Z,,done,True,29,369,0,25,,0.0,0d3cea2ca3daba905fa9650d9a79930f308a4b10,1.0,253,8592,676,282,4.1-development,926,0.0,5886,369,1521,
0,2018-07-26T21:17:57Z,6790,2018-07-26T21:17:58Z,0.0,1456,5713,2012-10-23T19:08:07Z,Java,druid-io/druid,1456,116,2018-07-26T21:18:22Z,,done,True,75,4257,0,30,,0.0,7919e4d5df1452573ad85179239a0f43c35fd284,1.0,3605,141002,5712,3680,master,3857,0.0,6790,4257,1671,
0,2018-04-15T13:01:46Z,3948,2018-05-14T01:58:21Z,0.0,661,1014,2016-08-21T03:39:06Z,Java,dyc87112/SpringBoot-Learning,661,133,2018-07-26T16:29:43Z,,done,True,68,353,0,30,,0.0,88d49d7d668bb5510b77ebcf4990aa4a9937c163,1.0,198,32693,1013,266,master,1043,0.0,3948,353,1744,
0,2018-07-26T22:16:36Z,4932,2018-07-26T23:03:19Z,0.0,,,2015-03-26T15:31:01Z,Java,eclipse/che,8933,,2018-07-26T22:16:46Z,,done,True,,,0,30,,0.0,598ecdd6cf44fda6a884aa52a007eefd7982e339,1.0,,91462,,,master,29423,0.0,4932,12736,887,
0,2018-07-26T13:58:39Z,8160,2018-07-26T16:00:47Z,0.0,141,1028,2011-06-17T14:54:55Z,Java,eclipse/vert.x,141,6,2018-07-26T15:19:52Z,,done,True,4,887,0,1,,0.0,01bc1489fa56084d0aa658eaad9e61d40217a452,1.0,690,101006,1027,694,master,1057,0.0,8160,887,1386,
0,2018-03-28T15:42:04Z,3843,2018-07-14T10:11:48Z,0.0,269,771,2015-09-11T11:28:52Z,Java,elasticjob/elastic-job-lite,269,51,2018-07-26T12:29:26Z,,done,True,23,502,0,12,,0.0,b022898ef1b8c984e17efb2a422ee45f6b13e46e,1.0,394,104627,770,417,dev,906,0.0,3843,502,1865,
0,2015-05-20T18:31:51Z,5322,2018-05-03T21:01:06Z,1.0,26,83,2012-03-11T18:29:18Z,Java,emilsjolander/StickyListHeaders,26,11,2018-07-26T08:09:45Z,,done,False,16,57,0,1,,0.0,cec8d6a6ddfc29c530df5864794a5a0a2d2f3675,1.0,15,3866,82,31,master,763,1.0,5322,57,1557,
0,2018-07-26T20:57:19Z,7096,2018-07-26T22:47:29Z,1.0,,,2013-04-29T18:26:36Z,Java,eugenp/tutorials,9490,,2018-07-26T21:32:41Z,,done,False,,,0,30,,1.0,7070f25400c070ec499461a795b424b802665047,1.0,,107879,,,master,40726,1.0,7096,14001,11144,
0,2018-07-26T23:04:37Z,5963,2018-07-26T23:04:40Z,1.0,3911,16732,2013-04-17T18:12:18Z,Java,facebook/buck,3911,93,2018-07-26T23:04:49Z,,done,False,729,12821,0,1,,0.0,f7be437825b9e4350aee89896cf8cb88919d4cc1,0.0,5972,862035,16731,6701,master,23223,1.0,5963,12821,900,
