address,current,old,sample,id,repository_type
Xennis/graphical_model_editor,True,True,False,Xennis/graphical_model_editor,git
XtextHaskell/language.common,True,True,False,XtextHaskell/language.common,git
YonedaMasashi/xText_Practice,True,True,False,YonedaMasashi/xText_Practice,git
Yongxin/hip_sleek,True,True,False,Yongxin/hip_sleek,git
YorickPerret/CollavizMDE,True,True,False,YorickPerret/CollavizMDE,git
aamattos/GMF-Tooling-Visual-Editor,True,True,False,aamattos/GMF-Tooling-Visual-Editor,git
aangenieux/capillary,True,True,False,aangenieux/capillary,git
aarfe/Tesi,True,True,False,aarfe/Tesi,git
abdush/BPMN2StateChart,True,True,False,abdush/BPMN2StateChart,git
abelgomez/emf.utils.standalone,True,True,False,abelgomez/emf.utils.standalone,git
abes140377/xmdlab,True,True,False,abes140377/xmdlab,git
ablunk/dmx,True,True,False,ablunk/dmx,git
abouakaz/ADFG,True,True,False,abouakaz/ADFG,git
abreslav-from-google-code/abreslav,True,True,False,abreslav-from-google-code/abreslav,git
abreslav/astrans,True,True,False,abreslav/astrans,git
abreslav/grammatic,True,True,False,abreslav/grammatic,git
abreslav/java2ecore,True,True,False,abreslav/java2ecore,git
abubeck/eclipse-snippets,True,True,False,abubeck/eclipse-snippets,git
acherm/teaching,True,True,False,acherm/teaching,git
adaussy/Diagram-Global-Tool-Service,True,True,False,adaussy/Diagram-Global-Tool-Service,git
adaussy/emf.compare.acceptance.tests,True,True,False,adaussy/emf.compare.acceptance.tests,git
adisandro/MMINT,True,True,False,adisandro/MMINT,git
adolfosbh/cs2as,True,True,False,adolfosbh/cs2as,git
adrian-herscu/experiments,True,True,False,adrian-herscu/experiments,git
afaquejam/mde_wadl,True,True,False,afaquejam/mde_wadl,git
agentlab/dsl15926,True,True,False,agentlab/dsl15926,git
agentlab/emftext.javaproperties,False,True,False,agentlab/emftext.javaproperties,git
agentlab/org.eclipse.scada.protocols,True,True,False,agentlab/org.eclipse.scada.protocols,git
ahajirnis/clubuml2013,True,True,False,ahajirnis/clubuml2013,git
ajgustafsson/mde,True,True,False,ajgustafsson/mde,git
akanurlanopop/Coursework,True,True,False,akanurlanopop/Coursework,git
akgun/mdse,True,True,False,akgun/mdse,git
akosyakov/org.xtext.example.mydsl.idea,True,True,False,akosyakov/org.xtext.example.mydsl.idea,git
albertfdp/petrinet,True,True,False,albertfdp/petrinet,git
alberto-salido/DataBaseEditor,True,True,False,alberto-salido/DataBaseEditor,git
alberto-salido/RubyGenerator,True,True,False,alberto-salido/RubyGenerator,git
aldewereld/OperettA,True,True,False,aldewereld/OperettA,git
alexejsailer/pipenets,True,True,False,alexejsailer/pipenets,git
